Text,Classification,Length
Cut on finger while working in the kitchen.,HiPo Incident,43
"End Cap blew off during drying of 10"" line.",HiPo Incident,43
He went a side-step and injured his ankle. ,HiPo Incident,43
Oil spill to sea from sub-sea installation.,HiPo Incident,43
Two long-standing Lighting poles fell down.,HiPo Incident,43
The derrick hand fell from the tubing board.,Fatal Incident,44
The victim fall into the sea from the supply,Fatal Incident,44
Fell down the ladder and hurt his left knee.,HiPo Incident,44
High Potential energy from a dropped object.,HiPo Incident,44
"A contractor employee missing, presumed dead.",Fatal Incident,45
A contractor was crushed between two lorries.,Fatal Incident,45
Driver was abducted and shot by armed robbers,Fatal Incident,45
An employee was robbed while driving his car.,HiPo Incident,45
Coverall burned at maintenance building roof.,HiPo Incident,45
Crushed his knee between cable gate and pipe.,HiPo Incident,45
Fire at platform and at sea surrounding sump.,HiPo Incident,45
Cut finger when cleaning protective equipment.,HiPo Incident,46
Employee was robbed on his way home from work.,HiPo Incident,46
A contractor drowned in the camp swimming pool.,Fatal Incident,47
Aircraft crashlanded at the airport in a storm.,Fatal Incident,47
Awaiting information from investigation report.,Fatal Incident,47
The contractor died when two vehicles collided.,Fatal Incident,47
After lifting an oil can he suffered back pain.,HiPo Incident,47
Cut his finger when he was working with cables.,HiPo Incident,47
He crushed his finger between a pipe and a box.,HiPo Incident,47
Helicopter baggage door fell off during flight.,HiPo Incident,47
Hit his left toe under runway to gantry crane. ,HiPo Incident,47
Minor leakage of HC-gas above islolation valve.,HiPo Incident,47
A contractor drowned when swimming in the river.,Fatal Incident,48
Collision between two vehicles at road junction.,Fatal Incident,48
A crick in the back after working with spreader.,HiPo Incident,48
A fire started inside the Warehouse cooled room.,HiPo Incident,48
He get neck pain after being hit by scaffolding.,HiPo Incident,48
Hurt his hand when he used the open-end spanner.,HiPo Incident,48
A welder helper was trapped in a trench collapse.,Fatal Incident,49
Contract crushed between rotating crane and pipe.,Fatal Incident,49
Burned when he got a cup of coffee down his neck.,HiPo Incident,49
Foreign body in the eye. He used safety equipment,HiPo Incident,49
Improper lifting gear resulted in dropped object.,HiPo Incident,49
LP flare flame extinguished unexpectedly (twice).,HiPo Incident,49
Contractor fatality due to a fall on drilling rig.,Fatal Incident,50
Employee was involved in a motor vehicle accident.,Fatal Incident,50
A mini bus rolled over when carrying 7 passengers.,HiPo Incident,50
Cut in finger when he was working with guide rope.,HiPo Incident,50
Fracture in chest after his right arm was crushed.,HiPo Incident,50
A contractor was shot in the head by armed robbers.,Fatal Incident,51
A contractor bus and pick-up had head on collision.,HiPo Incident,51
Collision between company pool car and private car.,HiPo Incident,51
"HIPO, Burn Injuries  during Well Testing Activities",HiPo Incident,51
Contractor employee burned in an off-shore rig fire.,Fatal Incident,52
Contractor was knocked down by a third party driver.,Fatal Incident,52
Helicopter crashed into the sea just after take off.,Fatal Incident,52
Helicopter crashed into the sea just after take off.,Fatal Incident,52
Helicopter crashed into the sea just after take off.,Fatal Incident,52
Helicopter crashed into the sea just after take off.,Fatal Incident,52
Telescopic crane toppled over and crushed a mechanic,Fatal Incident,52
Activation of PRD resulting in gas release (Tier 3).,HiPo Incident,52
Chemicals in the injured person's eye (H2s cleaner).,HiPo Incident,52
Emmission of 27 cubic metres Novatec drilling fluid.,HiPo Incident,52
He cut his hand on a plate. He had to have stitches.,HiPo Incident,52
He cut his hand when bringing soap from the cabinet.,HiPo Incident,52
Leakage of hydraulic oil from sub sea system to sea.,HiPo Incident,52
Oil spill to sea from sub-sea installation manifold.,HiPo Incident,52
Restricted Workday Case: A Materialsman was climbing,HiPo Incident,52
The flag stumbled in a skid. His hand was fractured.,HiPo Incident,52
"Well blowout, the oil ignited and resulted in a fire.",Fatal Incident,53
A 1.2 m x 1.2 m trench collapsed on a labourers legs.,HiPo Incident,53
A helicopter carried explosive pyrotechnic equipment.,HiPo Incident,53
"Burns to hands, neck, face while loading incinerator.",HiPo Incident,53
Chain fell down from container roof and hit his hand.,HiPo Incident,53
Cut his right hand when he was using cutting pliers .,HiPo Incident,53
During a safety meeting he got something in this eye.,HiPo Incident,53
Gas leak at sour gas dehydrator scrubber drain line. ,HiPo Incident,53
LP flare flame extinguished. Potential 10 fatalities.,HiPo Incident,53
Right hand crushed while working with loading of mud.,HiPo Incident,53
The injured person broke a tooth when he hit a winch.,HiPo Incident,53
Driver lost control of the vehicle and it rolled over.,Fatal Incident,54
During heavy winds a 20 meter high scaffold collapsed.,Fatal Incident,54
The driver of a company bus was shot by armed robbers.,Fatal Incident,54
Tree fell on contractor during helipad site clearance.,Fatal Incident,54
Victim fell from a houseboat into a creek and drowned.,Fatal Incident,54
Gas leakage on OSD. Oil and gas production was stoped.,HiPo Incident,54
He suffered neck pain after a being hit by scaffolding,HiPo Incident,54
A contractor fell into a 4 metre deep pond and drowned.,Fatal Incident,55
Crushed finger when caught between mooring cable coils.,HiPo Incident,55
Destruction and severe damage to helicopter by tornado.,HiPo Incident,55
Emmission of Novatech pseudo oil based drilling fluid. ,HiPo Incident,55
Gas leak within MR Compartment in Train2 MR - Shutdown.,HiPo Incident,55
Hit by an angle iron and a piece of his tooth fell out.,HiPo Incident,55
Major gas leaks caused by glycol contact valve failure.,HiPo Incident,55
She fell down the stairwell from 3rd to the 2nd floor. ,HiPo Incident,55
A contractor fell off a bridge into a creek and drowned.,Fatal Incident,56
Supply boat captain was stabbed by a fellow crew member.,Fatal Incident,56
Victim fell off scaffolding and sustained a broken neck.,Fatal Incident,56
He twist his ankle when he fell down from a scaffolding.,HiPo Incident,56
Road lighting lamp was broken and fell down to the road.,HiPo Incident,56
"Collision between two trucks, fatally injured one driver.",Fatal Incident,57
Tank exploded when retaining bolts were being ground off.,Fatal Incident,57
The deceased was cruched when a roller reversed over him.,Fatal Incident,57
He got a brush in his face and one of his teeth fell out.,HiPo Incident,57
One rib was injured when he was leaning on the hand rail.,HiPo Incident,57
The right finger was crushed in the door to the mud room.,HiPo Incident,57
A 300g plate fell 25 metres and landed on the drill floor.,HiPo Incident,58
Activating of ESD failed to shut down generators (Tier 3).,HiPo Incident,58
During a ballast tank inspection he slipped and fell down.,HiPo Incident,58
He cut his hand when he was working with an angle grinder.,HiPo Incident,58
He fell down the stairway and hit his elbow and his back. ,HiPo Incident,58
Hurt his knee when he was working with equipment to riser.,HiPo Incident,58
IP struck multiple times on safety boot by a Carpet Viper.,HiPo Incident,58
Slight leakage of sour gas from electrical cables manhole.,HiPo Incident,58
Contractor died when his vehicle left the road and crashed.,Fatal Incident,59
Contractor Landcruiser collided with a third party vehicle.,Fatal Incident,59
Workover rig collapsed.  Contractor killed by rig collapse.,Fatal Incident,59
A dustbin fell down and hit his face. 2 teeth were damaged.,HiPo Incident,59
Contractor got a piece of metal in eye from unknown source.,HiPo Incident,59
He was struck in his mouth and one of his teeth was broken.,HiPo Incident,59
The operator fell 2m onto a concrete floor while unloading.,HiPo Incident,59
The woman hurt her knee when she was entering the lifeboat.,HiPo Incident,59
"A section of 30"" pipe broke loose during welding operations.",Fatal Incident,60
Car hit broken-down trailer parked along side of unlit road.,Fatal Incident,60
Chemical in the eye while working with high-pressure washer.,HiPo Incident,60
Got something in his eye during work with kitchen equipment.,HiPo Incident,60
Struck in the mouth and a small piece of his tooth fell out.,HiPo Incident,60
Helicopter ditched into the sea while approching the platform,Fatal Incident,61
A plank hit him in the face and one of the teeth was damaged.,HiPo Incident,61
Contractor vehicle left access road and rolled onto its side.,HiPo Incident,61
During work with diverter running tool he stretched a muscle.,HiPo Incident,61
Helicopter passed close to platform while attempting to land.,HiPo Incident,61
Hurt his hand when he was working with washing the pump room.,HiPo Incident,61
The injured man fell down from a pipe - his knee was twisted.,HiPo Incident,61
Rigging on rig floor broke loose.  Snatch block struck victim.,Fatal Incident,62
The victim falls 20 meters from a basket suspended on a crane.,Fatal Incident,62
There were 4 people in the crew cab of a crew truck owned by a,Fatal Incident,62
A steel fragment flew off the Gas Turbine Generator's exhaust.,HiPo Incident,62
CALM buoy to TFSO hose ruptured. Potential for 1-2 fatalities.,HiPo Incident,62
Smoke was detected in the pumproom for the seawater lift pump.,HiPo Incident,62
The injured man fell down the stairs and his knee was twisted.,HiPo Incident,62
Details of incident unknown.  Employee found floating in water.,Fatal Incident,63
Employee suffered a heart attack during swim survival training.,Fatal Incident,63
Employee working on pumping unit - struck by counterweight arm.,Fatal Incident,63
"HIPO, Gas Release while Depressurizing Gas Injection Trunk Line",HiPo Incident,63
The finger was crushed  when he was working with air equipment.,HiPo Incident,63
A labourer working in the road was run over by a loading shovel.,Fatal Incident,64
"A pick-up overturned on the road, killing a production operator.",Fatal Incident,64
The passenger of a contractor vehicle was shot by armed robbers.,Fatal Incident,64
Dedicated safety watch was not provided for confined space job. ,HiPo Incident,64
Explosion caused by rupture of a buried 8inch 4500 kPa Gas line.,HiPo Incident,64
Gas leak observed from Feed gas K.O drum PT-12002 tapping point.,HiPo Incident,64
He crushed his hand when the door closed because of strong wind.,HiPo Incident,64
He got chemical dust in his eye when working with a mixing unit.,HiPo Incident,64
Two people entered a tank(Confined Space) and had to be rescued.,HiPo Incident,64
While working with cargo from flare boom he was hit on the knee.,HiPo Incident,64
"Whilst resting inside truck, the drivers inhaled carbon monoxide.",Fatal Incident,65
A support angle under a grating was found to have rusted through.,HiPo Incident,65
Gas release from work being performed on the outlet gas flowline.,HiPo Incident,65
He got something in his eye when he was working with band sander.,HiPo Incident,65
Methane Leak from pump body flange in the Nitrogen Recovery Unit.,HiPo Incident,65
Splash to face during chemical transfer from old drum to new one.,HiPo Incident,65
Contractor car rolled over. Driver did not have a driving license.,HiPo Incident,66
Crew did not recognize trapped pressure while nippling down valve.,HiPo Incident,66
"During inflation of tire, rim separated and struck three workers. ",HiPo Incident,66
During lifting of gas cooler a safety pin was found to be missing.,HiPo Incident,66
He released the open-end spanner and he got a stretch in the neck.,HiPo Incident,66
A driver died from loss of blood when he was shot by armed robbers.,Fatal Incident,67
Employee fatally injured as a result of fire/explosion at well site,Fatal Incident,67
Seaman on workdeck struck by empty cable reef transferred by crane.,Fatal Incident,67
The accident occurred due to Traffic Accident during working hours.,Fatal Incident,67
"Gas leak observed from flow arm's 3/4"" drain valve bonnet on wells.",HiPo Incident,67
He hurt his right ankle when he was going down from choke manifold.,HiPo Incident,67
"Seismic Line -IP was ""spat on"" by a 30cm Mozambican Spitting Cobra.",HiPo Incident,67
Significant damage to offshore facilities caused by Hurricane Ivan.,HiPo Incident,67
The injured person suffered a fractured back in a vehicle incident.,HiPo Incident,67
Worker lost balance and fell through the main deck wellbay grating.,HiPo Incident,67
Contacted over-head power line with pole while staking right-of-way.,Fatal Incident,68
"Driver lost control of vehicle, swerved off the road and hit a wall.",Fatal Incident,68
Fatally injured whilst operating a back pressure valve removal tool.,Fatal Incident,68
Struck by helicopter blade when vessel was heaving in heavy weather.,Fatal Incident,68
1000 bbls of oil were spilled due to sabotage into a swampy terrain.,HiPo Incident,68
He hit his knee against a structure when he was working with a pump.,HiPo Incident,68
The victim was involved in a road accident and injured his left eye.,HiPo Incident,68
A contractor was inside a lifeboat when it sell 26 metres to the sea.,Fatal Incident,69
A truck overturned in a road leading towards an operational compound.,Fatal Incident,69
Diving incident on an offshore platform which resulted in a fatality.,Fatal Incident,69
He crushed his hand in a door - the door slammed due to strong winds.,HiPo Incident,69
He was going into the container and then he hit his knee on the door.,HiPo Incident,69
Pirate attack on supply boat - crew member received shotgun wounds.  ,HiPo Incident,69
Died from burns received when a flash fire occurred in a vacuum truck.,Fatal Incident,70
Occurred in Myanmar. Vehicle he was driving was involved in roll over.,Fatal Incident,70
The victim fell 25ft off pipe alley onto cable slings on a barge deck.,Fatal Incident,70
A fire started inside the camp kitchen in the deep fryer cooking oil. ,HiPo Incident,70
The injured person cut her finger when she was working in the kitchen.,HiPo Incident,70
When  working with a fresh air hose - he hit his elbow on scaffolding.,HiPo Incident,70
A guard was shot dead when a flow station was stormed by armed robbers.,Fatal Incident,71
The deceased was driving his truck when he collided with another truck.,Fatal Incident,71
A gradall was pulling out fence to clear ground for setting crane mats.,HiPo Incident,71
Disintegration of a Nitrogen Receiver vessel due to a Brittle Fracture.,HiPo Incident,71
Eleven contractors were killed in a helicopter crash at Cormorant Alpha.,Fatal Incident,72
Employee was struck on the back of the head and neck by rig floor tongs.,Fatal Incident,72
The men were struck dead by lightning during routine seismic operations.,Fatal Incident,72
A construction support barge was drifting towards the wellhead platform.,HiPo Incident,72
"During welding, welding embers fell down and burnt through all clothes. ",HiPo Incident,72
He hit his head on a flexible hose. He suffered symptoms of neck injury.,HiPo Incident,72
Contract employee lost at sea after the collapse of jack-up workover rig.,Fatal Incident,73
Contractor was crushed when the concrete slab he was excavating gave way.,Fatal Incident,73
Employee died when load shifted on supply vessel as it approached harbour,Fatal Incident,73
"Whilst working on the dredger, a contractor slumped to the deck and died.",Fatal Incident,73
A man's  left elbow was injured when he was working with export oil pump.,HiPo Incident,73
"Broken part from spring hungers fallen down, it's a sharp edge at train 1",HiPo Incident,73
He got something in his eye when he was working with insulating material.,HiPo Incident,73
He got something in his eye when he was working with welding and sanding.,HiPo Incident,73
A contractor was killed when he was run over by a slow moving fuel tanker.,Fatal Incident,74
The deceased fell from the deck of a tanker and suffered multiple injures.,Fatal Incident,74
Third party child was killed when he ran into the path of a staff minibus.,Fatal Incident,74
"500 bbls of oil were spilled from sabotaged 16"" T/L into a swampy terrain.",HiPo Incident,74
A person was hit in the face by a high pressure nitrogen hose which fell. ,HiPo Incident,74
A piece of concrete fell approximately 25 meters from the main pipe rack. ,HiPo Incident,74
Gas leak in compressor hood: There was a shut down on gas compressor. A 1.,HiPo Incident,74
Contractor Fuel Clerk killed when he hit his head on a boat during a crash.,Fatal Incident,75
Crewman on supply vessel crushed by movement of deck cargo.                ,Fatal Incident,75
"During the dismantling of a rig, contractor was struck by falling windwall.",Fatal Incident,75
Night watchman found dead with head injuries.  Possible burglary or murder.,Fatal Incident,75
The vehicle careered off the road for unknown reasons.  All occupants died.,Fatal Incident,75
A contractor was hospitalised for a snakebite and associated complications.,HiPo Incident,75
A contractor's finger was amputated after being caught in a spinning chain.,HiPo Incident,75
Deviation from Barrier Policy when investigating Back pressure Valve (BPV).,HiPo Incident,75
Sphere burst following its retrieval from the sphere receiver in the plant.,HiPo Incident,75
Bulldozer handbrake was released accidentally.  It descended out of control.,Fatal Incident,76
"Crane boom reversed into overhead high voltage powerlines, killing operator.",Fatal Incident,76
"During the construction of a shed, a welder fell from one of the roof beams.",Fatal Incident,76
Employee was hit on jaw by rod elevator handle while working on subsea pump.,Fatal Incident,76
Tug boat hit an active gas line during anchor positioning causing explosion.,Fatal Incident,76
Welder was hit by a projectile released during pressure testing of manifold.,Fatal Incident,76
While making a delivery to lease sites struck and killed by another vehicle.,Fatal Incident,76
A gas leak was reported from a well head within the refinery plant (Tier 3).,HiPo Incident,76
Beechcraft-1900 Plane collided with ATR-42 Plane at airstrip during parking.,HiPo Incident,76
During a crane operation the hoist started to swing and nearly hit a person.,HiPo Incident,76
Roustabout struck by drill pipe elevators causing partial amputation of leg.,HiPo Incident,76
Roustabout struck by drill pipe elevators causing partial amputation of leg.,HiPo Incident,76
"The injured party slipped whilst descending stairs, injuring his left ankle.",HiPo Incident,76
A contractor driver hit and killed a 7 year old girl running across the road.,Fatal Incident,77
A passenger bus and a contractor's automobile were involved in an accident on,Fatal Incident,77
During maintenance operation a life-boat fell into the sea with a man inside.,Fatal Incident,77
"Whilst on guard duty, a night watchman was run over by a third party vehicle.",Fatal Incident,77
A new employee took a short cut around the helicopter and via the tail rotor.,HiPo Incident,77
A roustabout was working with a basket that hit his calf and broke his ankle.,HiPo Incident,77
During Frac Tank transportation by road the truck almost fell in to an Abyss.,HiPo Incident,77
He was carrying a cement plug when he lost his balance. He strained a muscle.,HiPo Incident,77
One of three strains of wire offloading from a vessel to onshore base parted.,HiPo Incident,77
The victim suffered injury when the jack he was working with hit his stomach.,HiPo Incident,77
"Diver head trapped between ""A"" frame and winch while moving the diving basket.",Fatal Incident,78
Rig worker died when he fell from the derrick stabbing board to the rig floor.,Fatal Incident,78
"Truck collided with a third party truck, resulting in the death of the driver.",Fatal Incident,78
Whilst travelling from Damas to Der Ez Zor the vehicle rolled out of the road.,Fatal Incident,78
A contractor supplied contaminated food to a group of workers during a dinner.,HiPo Incident,78
During transportation of some boxes one of the MOB boat crew injured his knee.,HiPo Incident,78
Helicopter tail swinging too close to bow leg of the rig during a lifting off.,HiPo Incident,78
Explosion and subsequent fire at gas plant resulted in two employee fatalities.,Fatal Incident,79
Pick-up truck collided with motorcyclist.  Motorcyclist later died in hospital.,Fatal Incident,79
The accident occurred due to Traffic Accident during working hours.            ,Fatal Incident,79
A contractor tore ligaments after slipping on the stairs entering a restuarant.,HiPo Incident,79
Contractor boat collided with a third party boat causing multiple injury cases.,HiPo Incident,79
During testing of the seal assembly a sudden drop in the trip tank was noticed.,HiPo Incident,79
While working with Vigdis 2nd stage separator an accidential emission occurred.,HiPo Incident,79
A civil contractor got into difficulties whilst swimming in a river and drowned.,Fatal Incident,80
Roughneck fell 15 metres from drill floor to cellar deck of semisubmersible rig.,Fatal Incident,80
There was a head on collision between a company pick up and a third party truck.,Fatal Incident,80
While pulling pipe out of a boat employee was struck by edge of pipe and thrown.,Fatal Incident,80
Whilst working with scaffolding a contractor was struck by a falling angle iron.,Fatal Incident,80
A fire was initiated at the export pump resulting in a level 5 ESD of the plant.,HiPo Incident,80
A supply vessel lost control and drifted into a bridge connecting two platforms.,HiPo Incident,80
A ventilation grate weighing 3kg fell 4 metres from the roof of the living room.,HiPo Incident,80
An employee was hospitalised for hernia repair after lifting a choke by himself.,HiPo Incident,80
An underground 42 inch crude oil leak occurred as a result of pipeline corosion.,HiPo Incident,80
Injured his left knee when the hand gear came loose and fell onto his left knee.,HiPo Incident,80
The second security gate at the Marine Offloading Area was hit by a water truck.,HiPo Incident,80
A truck driver in avoiding a collision with another vehicle overturned the truck.,Fatal Incident,81
"During seismographic operations, a worker drowned when he tried to cross a river.",Fatal Incident,81
A person was hit in the head while dismantling and lifting a head extension ring.,HiPo Incident,81
An operator worked on high voltage equipment without proper electrical isolation.,HiPo Incident,81
"The victim, a scraper, broke his arm when a scraper he was driving hit a big pit.",HiPo Incident,81
When he was going into the helicopter he stumbled and broken some of his fingers.,HiPo Incident,81
A worker died from mechanical asphyxia while trying to swim across a narrow river.,Fatal Incident,82
Company driver knocked down and killed a third party child running across the road,Fatal Incident,82
The HLO on a offshore platform was struck by the main rotor blade of a helicopter.,Fatal Incident,82
The man was killed by an electric arc when working next to 6900 volts power lines.,Fatal Incident,82
Two workers died because of the sinking of a hired towboat.  The died by drowning.,Fatal Incident,82
"Was squeezed to death between two containers on board supply vessel ""Erik Viking"".",Fatal Incident,82
1 of 8 rollers on the BOP fell 11.6 metres to the skid deck. 4 persons was nearby.,HiPo Incident,82
A subcontractor vehicle struck a concrete stanchion and rolled over onto its roof.,HiPo Incident,82
"A valve failed on the tubing sweep, resulting in a gas release to the environment.",HiPo Incident,82
Hydrocarbon Gas leak from Multipurpose Flow meter (MPFM) inlet line at PD Platform,HiPo Incident,82
Operator was hit in the face by a falling tree that was being cut by an excavator.,HiPo Incident,82
"On a pipe laying barge, the winch operator is trapped between a pipe and hand rail.",Fatal Incident,83
Person crushed when working under a ready-mix concrete wagon which was driven away.,Fatal Incident,83
The car skidded off the road and rolled over several times.  The driver was killed.,Fatal Incident,83
When installing grating on platform under construction the worker fell approx. 11m.,Fatal Incident,83
"A 10L  can fell down from a shelf and hit his hand, crushing his left ring finger. ",HiPo Incident,83
A snatch block (5 kg) fell 15 metres onto the drilling deck. One person was nearby.,HiPo Incident,83
An excavator started work to remove electrical cables which were still live (400V).,HiPo Incident,83
Needle valve (480g) sheared and fell 25m to rig floor where personnel were working.,HiPo Incident,83
Electrocution of the victim during the welding clip connection to a welding machine.,Fatal Incident,84
Individual was struck by pipe plug that was released from a section of 16 inch pipe.,Fatal Incident,84
Inspector (security) was reported missing and later found dead (terrorist activity).,Fatal Incident,84
Overtaking motorcyclist hit contractor vehicle turning off road.  Motorcyclist died.,Fatal Incident,84
Road traffic accident - collision of motor vehicle with a train at a level crossing.,Fatal Incident,84
"While driving a vacuum truck, the driver lost control of the vehicle overturning it.",Fatal Incident,84
"Crane owned by contractors during lifting 6 1/2"" drill collars. There was no injury.",HiPo Incident,84
Description of road accident was unavailable. The victim was given 10 days off work.,HiPo Incident,84
Significant gas leak was observed from NRV downstream flange on Furnace outlet line.,HiPo Incident,84
"While disconnecting a loading arm at the Jetty, the loading arm hit a lighting pole.",HiPo Incident,84
Driver lost control of vehicle on a bend and collided with a fence and lighting pole.,Fatal Incident,85
"Driving pickup truck, ran head on into oncoming truck.  Truck reported in wrong lane.",Fatal Incident,85
"Whilst clearing tuggerline, seaman caught between two skips which moved due to waves.",Fatal Incident,85
A person got a fracture on his left thumb during inspection of jetty tower jib crane.,HiPo Incident,85
A Tug Boat used for anchor deployment capsized during a pipeline post trenching work.,HiPo Incident,85
Insertion / removal of spade on wrong side isolation valve resulting in two gas leaks,HiPo Incident,85
"Motor vehicle Accident. Three vehicle occupants, (Sub Contractor). Multiple rollover.",HiPo Incident,85
"On return trip from borehole, water tanker rollover approximately 4km from base camp.",HiPo Incident,85
Contractor had repaired fan and not replaced the cover and he was pulled into the fan.,Fatal Incident,86
A contractor restarted Steam Turbine Generator A (STG A) after preventive maintenance.,HiPo Incident,86
An Oil Truck ran off on a bad stretch of road in darkness. The driver was not injured.,HiPo Incident,86
Crane overturned when moving a spooling tower from one barge to another.  No injuries.,HiPo Incident,86
During a nitrogen pressure test a test hose failed as a result of over pressurisation.,HiPo Incident,86
Fire started in one of the camp rooms due to an electrical extension cord malfunction.,HiPo Incident,86
"Driver lost control of vehicle, causing it to rollover, fatally injuring the passenger.",Fatal Incident,87
A casing fell down from drilling rig to pipe rack deck. There were no personell nearby.,HiPo Incident,87
A small flash fire was caused by a welding spark at the end of a closed drain gas vent.,HiPo Incident,87
Contractor truck &amp; trailer which had 20 tonnes of load rolled over during rig move.,HiPo Incident,87
Roof was found bulging in (roof caved in) by the operator and was immediately reported.,HiPo Incident,87
Significant gas bubbles were seen rising to the sea surface at the production platform.,HiPo Incident,87
The injured person was cutting a hose using a grinder when a fragment hit his left eye.,HiPo Incident,87
Three contractors were hospitalised with 2nd degree superficial burns from a tank fire.,HiPo Incident,87
During the sheathing of a submerged pipe a diver was brought to the surface unconscious.,Fatal Incident,88
Salesmen fatally injured in road traffic accident while en-route to airport in Slovenia.,Fatal Incident,88
The employee collided head on with a contractor vehicle while driving a company vehicle.,Fatal Incident,88
Worker failed ot reconnect safety rope after work break. Fell 85 feet from monkey board.,Fatal Incident,88
During preparation for maintenace of Glycol Contactor a gas leakage occurred on the OSD.,HiPo Incident,88
During welding he get a foreign body in his eye. Use all necessary protective equipment.,HiPo Incident,88
Leak of approximately 8 kg/sec. condensate in process facility at offshore installation.,HiPo Incident,88
Long term contractor contracted malaria. He returned to work after a weekend of R&amp;R.,HiPo Incident,88
Road accident with car overturning. The driver suffered multiple traumas. 290 Lost Days.,HiPo Incident,88
Universal Lift Tool assembly dropped 29m from Starboard PRS Gripper head to drill floor.,HiPo Incident,88
"Upon arrival at the airport, it was reported that the freighter aircraft was overloaded.",HiPo Incident,88
A person fell down a hole on the derrick platform when the crew was drilling an oil well.,Fatal Incident,89
Accident occurred as the mechanic was driving; he lost control and drove into an oil pit.,Fatal Incident,89
Contractor suffered concussion after being struck by drillpipe moving violently sideways.,Fatal Incident,89
Driver of a truck steered off a narrow roadway. Truck rolled downhill killing the driver.,Fatal Incident,89
"Driving a pick-up truck, the deceased lost control of the vehicle causing it to overturn.",Fatal Incident,89
the victim was thrown against a steel grating structure by the mooring line which parted.,Fatal Incident,89
Three contractors were thrown from a truck when it overturned and they subsequently died.,Fatal Incident,89
Truck mounted crane failed at turret.   Boom fell striking individual.  Killed instantly.,Fatal Incident,89
Vehicle roll-over due to tyre blow-out resulting in the death of one rear-seat passenger.,Fatal Incident,89
"While attempting to repair a pumping unit, counterweights rotated killing the contractor.",Fatal Incident,89
An operator was leaning against the rail which broke off. He very nearly fell over board.,HiPo Incident,89
Failure on boom hoist hydraulic motor. Boom dropped 10m before emergency brake activated.,HiPo Incident,89
He twisted his knee when he was working with a heating element. The work area was narrow.,HiPo Incident,89
"Oil plant, due lift gas pipeline stuffing damage 13.000 m3 gas (mainly methane) blew out.",HiPo Incident,89
Petrojet pick-up vehicle rolled over causing one fatlity and major damage of the vehicle.,HiPo Incident,89
A contractor vehicle collided with a third party vehicle whilst avoiding another accident.,Fatal Incident,90
"A driver fell into a pit of a water treatment plant, containing hot water, dying of burns.",Fatal Incident,90
A worker was trapped against a winch truck while erecting a derrick in a production field.,Fatal Incident,90
"During inflation of a tyre, it exploded, throwing the mechanic across the workshop floor. ",Fatal Incident,90
Damage on the boom of a deck crane was discovered. Potential for serious personnel injury.,HiPo Incident,90
Three contractors were injured when the snub line broke and they were struck by the tongs.,HiPo Incident,90
A man was struck on the head by a rope and shackle that had ripped free off a securing log.,Fatal Incident,91
"A test plug blew out of a well, struck the travelling block then the well service operator.",Fatal Incident,91
Accident occurred when the electrician going up for side light job used an improper ladder.,Fatal Incident,91
Contract worker fatally injured by high pressure cap blown off subsea tree during workover.,Fatal Incident,91
